,code_grade_NEG,libelle_grade_neg,code_nomenclature_net_neh,libelle_NET_NEH,date_effet,date_fin,indice_brut,rang_echelon,code_etat,libelle_NEG_rempl,libelle_NET_NEH_rempl,code_NETH_rempl,libelle_statut
55948,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,340,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55949,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,380,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55950,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,420,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55951,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,460,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55952,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,500,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55953,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,530,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55954,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55955,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,313,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55956,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,353,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55957,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,392,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55958,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,429,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55959,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,465,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55960,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,504,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55961,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,535,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55962,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01DEC1974,30/06/1975,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55963,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,323,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55964,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,362,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55965,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,403,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55966,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,438,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55967,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,474,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55968,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,510,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55969,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,543,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55970,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1975,30/06/1976,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55971,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,331,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55972,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,370,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55973,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,415,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55974,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,446,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55975,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,481,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55976,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,514,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55977,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,549,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
